,open,close,high,low,total_turnover,volume
2009/5/4,5.5515,5.663,5.7137,5.494,640081740.6,106106911
2009/5/5,5.6968,5.6697,5.8117,5.6427,531835038.6,86823473
2009/5/6,5.6461,5.8285,5.8623,5.6157,804699504.8,130302115
2009/5/7,5.8252,6.0651,6.1022,5.8184,1083382900,168684355
2009/5/8,5.9738,6.1428,6.1766,5.9401,1043097126,160343470
2009/5/11,6.1495,5.9637,6.4874,5.9502,1249003892,186150799
2009/5/12,5.9401,6.0482,6.082,5.8927,367649719.8,57238654
2009/5/13,6.0786,6.0279,6.1495,5.9671,418430791.8,64671899
2009/5/14,6.011,5.886,6.0144,5.8285,547898137.2,87096152
2009/5/15,5.9401,5.913,5.9637,5.8488,256399253,40463299
2009/5/18,5.913,5.913,5.913,5.913,0,0
2009/5/19,6.0211,6.0448,6.1428,6.0211,524995984.2,80764074
2009/5/20,6.0549,5.9468,6.0718,5.9333,248650620.4,38823584
2009/5/21,5.9299,5.7272,5.9536,5.7035,435761386.3,70292400
2009/5/22,5.7035,5.7779,5.8387,5.636,395973406.3,64707589
2009/5/25,5.6934,5.8015,5.8995,5.6089,504422920,81715127
2009/5/26,5.815,5.7745,5.8623,5.717,299362596.2,48302162
2009/5/27,5.8319,6.0279,6.0313,5.8319,615492575.6,96247032
2009/6/1,6.1124,6.1833,6.2509,6.0684,548654487.1,83009119
2009/6/2,6.234,6.2442,6.3083,6.1901,800652328.4,119703915
2009/6/3,6.2442,6.7442,6.7746,6.2442,1263200462,178854141
2009/6/4,6.6902,6.8861,7.0551,6.6564,1263708698,170991666
2009/6/5,6.8422,6.7577,6.9605,6.7071,703018717.7,96361185
2009/6/8,6.7577,6.7577,6.7577,6.7577,0,0
2009/6/9,6.7577,6.7577,6.7577,6.7577,0,0
2009/6/10,6.7577,6.7577,6.7577,6.7577,0,0
2009/6/11,6.7577,6.7577,6.7577,6.7577,0,0
2009/6/12,6.7577,6.7577,6.7577,6.7577,0,0
2009/6/15,7.4335,7.4335,7.4335,7.0956,4087878244,524311676
2009/6/16,7.2646,7.6329,7.7173,7.2308,3349281952,414656246
2009/6/17,7.572,7.5011,7.6025,7.3321,1438301548,180327010
2009/6/18,7.4504,7.4065,7.6362,7.349,1484658868,185508923
2009/6/19,7.3828,7.4572,7.5687,7.3085,1275968107,160323597
2009/6/22,7.4673,7.4639,7.5754,7.2984,1465552944,183330095
2009/6/23,7.3321,7.4673,7.6498,7.2713,1377111693,172716409
2009/6/24,7.393,7.2375,7.3963,7.126,1407275999,181690886
2009/6/25,7.2308,7.224,7.3558,7.1801,823792196.6,106034404
2009/6/26,7.2612,7.2984,7.3321,7.2173,735726129.7,94327649
2009/6/29,7.2984,7.2984,7.2984,7.2984,0,0
2009/6/30,7.4335,7.3727,7.5011,7.3017,904244079.2,113913340
2009/7/1,7.3659,7.8559,7.9032,7.2848,1808460044,220791235
2009/7/2,7.839,7.8694,7.991,7.7714,1142173248,135317324
2009/7/3,7.7579,7.9741,8.0113,7.741,878856851,104070813
2009/7/6,7.9775,8.0687,8.2884,7.9099,844831203,97313830
2009/7/7,8.035,7.7004,8.035,7.6362,1195541481,143016623
